Product Description,Stage Name,Status,Wave,Completed by,Tiempo requerido days,Tiempo requerido hours
CHAROLA GENERICA 15X170g,Validation - Validators,1,1,Aprobador/a de legal (ocasional),1.130,27.12
ETIQUETA NESCAFÉ CLÁSICO 120g,Validation - Validators,1,1,Aprobador/a de legal (ocasional),1.952,46.84
ETIQUETA NESCAFE_CLÁSICO_170g,Validation - Validators,1,1,Aprobador/a de legal (ocasional),5.010,120.23
ETIQUETA NESCAFE_CLÁSICO_225g,Validation - Validators,1,1,Aprobador/a de legal (ocasional),5.010,120.24
CHAROLA 2X350g + 120g,Validation - Validators,1,1,Aprobador/a de marca registrada,0.929,22.30
CHAROLA GENERICA 120gr_Clásico.Decaf,Validation - Validators,1,1,Aprobador/a de marca registrada,2.828,67.87
CHAROLA GENERICA 15X170g,Validation - Validators,0,1,Aprobador/a de marca registrada,0.887,21.30
CHAROLA GENERICA 15X170g,Validation - Validators,1,2,Aprobador/a de marca registrada,0.490,11.76
"CHAROLA GENÉRICA_40,50,60G_Clásico.Black.Decaf",Validation - Validators,1,1,Aprobador/a de marca registrada,2.828,67.86
CHAROLA NESCAFÉ CLÁSICO 350g,Validation - Validators,1,1,Aprobador/a de marca registrada,0.890,21.36
CHAROLA NESCAFÉ CLÁSICO 42gr,Validation - Validators,1,2,Aprobador/a de marca registrada,0.970,23.28
CHAROLA NESCAFÉ CLÁSICO 42gr,Validation - Validators,0,1,Aprobador/a de marca registrada,2.830,67.92
CHAROLA NESCAFÉ CLÁSICO 6x400g,Validation - Validators,1,1,Aprobador/a de marca registrada,3.975,95.39
CHAROLA NESCAFÉ CLASICO 8x300gr,Validation - Validators,1,2,Aprobador/a de marca registrada,0.965,23.16
CORRUGADO NESCAFÉ CLÁSICO 14gr,Validation - Validators,0,1,Aprobador/a de marca registrada,0.719,17.27
CORRUGADO NESCAFÉ CLÁSICO 14gr,Validation - Validators,1,2,Aprobador/a de marca registrada,0.891,21.39
CORRUGADO NESCAFÉ CLÁSICO 14gr,Validation - Validators,1,4,Aprobador/a de marca registrada,0.857,20.56
CORRUGADO NESCAFÉ CLÁSICO 28gr,Validation - Validators,0,1,Aprobador/a de marca registrada,0.137,3.29
CORRUGADO NESCAFÉ CLÁSICO 28gr,Validation - Validators,1,2,Aprobador/a de marca registrada,2.965,71.16
CORRUGADO NESCAFÉ CLÁSICO ALEBRIJE 85g,Validation - Validators,1,1,Aprobador/a de marca registrada,3.975,95.41
ESTUCHE NESCAFE CLASICO STICK 16x14g,Validation - Validators,1,1,Aprobador/a de marca registrada,0.935,22.45
ETIQUETA DOYPACK NESCAFÉ CLÁSICO 28g,Validation - Validators,1,2,Aprobador/a de marca registrada,0.662,15.89
ETIQUETA DOYPACK NESCAFÉ CLÁSICO 28g,Validation - Validators,0,1,Aprobador/a de marca registrada,0.961,23.06
ETIQUETA NESCAFÉ CLÁSICO 120g,Validation - Validators,1,1,Aprobador/a de marca registrada,0.767,18.41
ETIQUETA NESCAFÉ CLÁSICO 300g,Validation - Validators,0,1,Aprobador/a de marca registrada,2.740,65.75
ETIQUETA NESCAFÉ CLÁSICO 300g,Validation - Validators,1,2,Aprobador/a de marca registrada,0.823,19.75
ETIQUETA NESCAFÉ CLÁSICO 350g,Validation - Validators,1,2,Aprobador/a de marca registrada,0.819,19.67
ETIQUETA NESCAFÉ CLÁSICO 350g,Validation - Validators,0,1,Aprobador/a de marca registrada,0.483,11.59
ETIQUETA NESCAFÉ CLÁSICO 400g,Validation - Validators,1,2,Aprobador/a de marca registrada,0.657,15.78
ETIQUETA NESCAFÉ CLÁSICO 400g,Validation - Validators,0,1,Aprobador/a de marca registrada,0.960,23.05
ETIQUETA NESCAFÉ CLÁSICO 60g,Validation - Validators,0,1,Aprobador/a de marca registrada,0.479,11.49
ETIQUETA NESCAFÉ CLÁSICO 60g,Validation - Validators,1,2,Aprobador/a de marca registrada,0.831,19.93
ETIQUETA NESCAFE_CLÁSICO_170g,Validation - Validators,1,1,Aprobador/a de marca registrada,2.820,67.68
ETIQUETA NESCAFE_CLÁSICO_225g,Validation - Validators,1,1,Aprobador/a de marca registrada,2.762,66.30
ETIQUETAS NESCAFÉ CLÁSICO 200g,Validation - Validators,1,1,Aprobador/a de marca registrada,1.098,26.34
ETIQUETAS NESCAFÉ CLÁSICO 42g,Validation - Validators,1,1,Aprobador/a de marca registrada,2.831,67.94
ETIQUETAS NESCAFÉ CLÁSICO 42g (Versión 2),Validation - Validators,1,1,Aprobador/a de marca registrada,0.137,3.29
FAJILLA 2X350g,Validation - Validators,1,1,Aprobador/a de marca registrada,0.939,22.53
FAJILLA 2X350g + 120g,Validation - Validators,1,1,Aprobador/a de marca registrada,0.930,22.31
Fajilla Clásico 200g + Black 40g,Validation - Validators,1,1,Aprobador/a de marca registrada,0.409,9.81
LAMINADO DOYPACK NESCAFÉ CLÁSICO 85g,Validation - Validators,1,1,Aprobador/a de marca registrada,0.933,22.39
LAMINADO NESCAFÉ CLÁSICO STICK 14g_ 12 PISTAS,Validation - Validators,1,1,Aprobador/a de marca registrada,3.984,95.62
LAMINADO NESCAFÉ CLÁSICO STICK 14g_ 8P,Validation - Validators,1,1,Aprobador/a de marca registrada,0.726,17.41
CHAROLA 2X350g + 120g,Validation - Validators,0,1,Aprobador/a de regulatorios,0.935,22.43
CHAROLA GENERICA 120gr_Clásico.Decaf,Validation - Validators,1,1,Aprobador/a de regulatorios,0.081,1.95
CHAROLA GENERICA 15X170g,Validation - Validators,1,1,Aprobador/a de regulatorios,0.156,3.75
CHAROLA GENERICA 15X170g,Validation - Validators,1,2,Aprobador/a de regulatorios,3.520,84.49
"CHAROLA GENÉRICA_40,50,60G_Clásico.Black.Decaf",Validation - Validators,1,1,Aprobador/a de regulatorios,2.249,53.98
CHAROLA NESCAFÉ CLÁSICO 350g,Validation - Validators,1,1,Aprobador/a de regulatorios,4.288,102.91
CHAROLA NESCAFÉ CLÁSICO 42gr,Validation - Validators,1,2,Aprobador/a de regulatorios,0.266,6.39
CHAROLA NESCAFÉ CLÁSICO 42gr,Validation - Validators,0,1,Aprobador/a de regulatorios,2.288,54.90
CHAROLA NESCAFÉ CLÁSICO 6x400g,Validation - Validators,1,1,Aprobador/a de regulatorios,2.497,59.92
CHAROLA NESCAFÉ CLASICO 8x300gr,Validation - Validators,1,2,Aprobador/a de regulatorios,1.301,31.22
CORRUGADO NESCAFÉ CLÁSICO 14gr,Validation - Validators,0,1,Aprobador/a de regulatorios,0.075,1.79
CORRUGADO NESCAFÉ CLÁSICO 14gr,Validation - Validators,1,2,Aprobador/a de regulatorios,0.206,4.94
