SUBROUP,1,2,3,4,5,6,7,8,9,10
1,15.8,16.3,16.2,16.1,16.6,15.8,16.3,16.2,16.1,16.6
2,16.3,15.9,15.9,16.2,16.4,16.3,15.9,15.9,16.2,16.4
3,16.1,16.2,16.5,16.4,16.3,16.1,16.2,16.5,16.4,16.3
4,16.3,16.2,15.9,16.4,16.2,16.3,16.2,15.9,16.4,16.2
5,16.1,16.1,16.4,16.5,16,16.1,16.1,16.4,16.5,16
6,16.1,15.8,16.7,16.6,16.4,16.1,15.8,16.7,16.6,16.4
7,16.1,16.3,16.5,16.1,16.5,16.1,16.3,16.5,16.1,16.5
8,16.2,16.1,16.2,16.1,16.3,16.2,16.1,16.2,16.1,16.3
9,16.3,16.2,16.4,16.3,16.5,16.3,16.2,16.4,16.3,16.5
10,16.6,16.3,16.4,16.1,16.5,16.6,16.3,16.4,16.1,16.5
11,16.2,16.4,15.9,16.3,16.4,16.2,16.4,15.9,16.3,16.4
12,15.9,16.6,16.7,16.2,16.5,15.9,16.6,16.7,16.2,16.5
13,16.4,16.1,16.6,16.4,16.1,16.4,16.1,16.6,16.4,16.1
14,16.5,16.3,16.2,16.2,16.4,16.5,16.3,16.2,16.2,16.4
15,16.4,16.1,16.3,16.2,16.2,16.4,16.1,16.3,16.2,16.2
16,16,16.2,16.3,16.3,16.2,16,16.2,16.3,16.3,16.2
17,16.4,16.2,16.4,16.3,16.2,16.4,16.2,16.4,16.3,16.2
18,16,16.2,16.4,16.5,16.1,16,16.2,16.4,16.5,16.1
19,16.4,16,16.3,16.4,16.4,16.4,16,16.3,16.4,16.4
20,16.4,16.4,16.5,16,15.8,16.4,16.4,16.5,16,15.8
