SUBROUP	1	2	3	4	5	6	7	8	9	10
1	499	502	501	502	504	504	498	502	500	502
2	504	502	503	501	502	504	501	503	500	501
3	504	498	499	499	501	501	502	498	501	502
4	498	502	504	498	504	500	502	501	502	501
5	503	499	503	499	499	499	501	503	501	500
6	500	504	499	501	503	501	502	504	501	499
7	504	502	500	503	504	499	503	502	501	502
8	499	501	501	503	498	499	498	501	504	504
9	499	504	499	499	501	503	499	500	501	500
10	501	502	501	501	501	498	499	503	502	498
11	501	504	501	502	504	503	504	504	499	501
12	504	504	502	501	498	498	498	501	504	499
13	499	501	504	499	502	504	499	503	502	498
14	498	499	501	503	501	499	503	499	502	499
15	502	499	503	502	501	498	501	502	500	499
16	500	498	501	499	501	503	503	499	499	503
17	500	500	500	503	498	498	501	503	503	499
18	500	502	499	501	500	500	498	502	503	504
19	502	504	502	501	498	500	499	502	502	504
20	501	502	500	502	498	499	500	504	498	504
